created_timestamp,preferred_marketplace,country,device_family,ASIN,reading_action_display,entry_point,display_start,display_end,book_format
2025-03-14T13:34:05Z,www.amazon.com,Not Available,Kindle for iOS,B07XNKRV83,About This Book BSE,Open the book,2025-03-14T13:34:04Z,2025-03-14T13:34:05Z,KFX
2025-07-13T18:04:54Z,www.amazon.com,Not Available,Kindle for iOS,B0C9MXW2JL,Before You Go BSE,Reach end of book,2025-07-13T18:04:27Z,2025-07-13T18:04:54Z,KFX
2024-09-20T07:50:30Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,Before You Go BSE,Reach end of book,2024-09-20T07:50:25Z,2024-09-20T07:50:30Z,KFX
2024-09-15T00:33:28Z,www.amazon.com,Not Available,Kindle for iOS,B0CBSH3BXT,Before You Go BSE,Reach end of book,2024-09-15T00:33:23Z,2024-09-15T00:33:28Z,KFX
2024-02-24T08:47:11Z,www.amazon.com,Not Available,Kindle for iOS,B0CB1RMZRC,Before You Go BSE,Reach end of book,2024-02-24T08:47:08Z,2024-02-24T08:47:11Z,KFX
2025-09-14T01:43:38Z,www.amazon.com,Not Available,Kindle for iOS,B0DWSZPM62,About This Book BSE,Open the book,2025-09-14T01:43:26Z,2025-09-14T01:43:38Z,KFX
2024-10-28T23:03:16Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,Before You Go BSE,Reach end of book,2024-10-28T23:01:06Z,2024-10-28T23:03:16Z,KFX
2025-06-08T23:48:02Z,www.amazon.com,Not Available,Kindle for iOS,B07Z8CGG7R,Before You Go BSE,Reach end of book,2025-06-08T23:47:44Z,2025-06-08T23:48:02Z,KFX
2024-03-03T07:26:16Z,www.amazon.com,Not Available,Kindle for iOS,B0BDW9C3JY,Before You Go BSE,Reach end of book,2024-03-03T07:26:10Z,2024-03-03T07:26:16Z,KFX
2025-02-23T04:08:34Z,www.amazon.com,Not Available,Kindle for iOS,B0CXR6ZHLS,Before You Go BSE,Reach end of book,2025-02-23T04:08:31Z,2025-02-23T04:08:34Z,KFX
2025-08-30T02:55:36Z,www.amazon.com,Not Available,Kindle for iOS,B0DB2L4TWY,About This Book BSE,Open the book,2025-08-30T02:55:32Z,2025-08-30T02:55:36Z,KFX
2025-04-08T23:05:29Z,www.amazon.com,Not Available,Kindle for iOS,B0CM5L5T6D,About This Book BSE,Open the book,2025-04-08T23:05:28Z,2025-04-08T23:05:29Z,KFX
2025-06-01T05:18:59Z,www.amazon.com,Not Available,Kindle for iOS,B0DZ3JM6XM,Before You Go BSE,Reach end of book,2025-06-01T05:18:24Z,2025-06-01T05:18:59Z,KFX
2024-04-26T00:22:55Z,www.amazon.com,Not Available,Kindle for iOS,B0B7L29TB7,About This Book BSE,Click on About This Book,2024-04-26T00:22:50Z,2024-04-26T00:22:55Z,KFX
2024-05-06T01:12:53Z,www.amazon.com,Not Available,Kindle for iOS,B01MQLZ12X,Before You Go BSE,Reach end of book,2024-05-06T01:12:35Z,2024-05-06T01:12:53Z,KFX
2024-10-10T03:05:19Z,www.amazon.com,Not Available,Kindle for iOS,B0C1D5SZW4,Before You Go BSE,Reach end of book,2024-10-10T03:04:51Z,2024-10-10T03:05:19Z,KFX
2025-01-09T20:49:20Z,www.amazon.com,Not Available,Kindle for iOS,B0D2PFVNXV,About This Book BSE,Open the book,2025-01-09T20:49:17Z,2025-01-09T20:49:20Z,KFX
2024-03-28T22:40:54Z,www.amazon.com,Not Available,Kindle for iOS,B0CYWDS6CT,Before You Go BSE,Reach end of book,2024-03-28T22:40:43Z,2024-03-28T22:40:54Z,KFX
2024-12-02T05:47:59Z,www.amazon.com,Not Available,Kindle for iOS,B00H45XC5O,About This Book BSE,Open the book,2024-12-02T05:47:57Z,2024-12-02T05:47:59Z,KFX
2025-03-24T20:52:13Z,www.amazon.com,Not Available,Kindle for iOS,B08RW8MW3D,Before You Go BSE,Reach end of book,2025-03-24T20:52:03Z,2025-03-24T20:52:13Z,KFX
2024-11-21T17:07:04Z,www.amazon.com,Not Available,Kindle for iOS,B015FELXQ0,Before You Go BSE,Reach end of book,2024-11-21T17:06:48Z,2024-11-21T17:07:04Z,KFX
2025-07-06T15:13:52Z,www.amazon.com,Not Available,Kindle for iOS,B0CQ371ZTP,About This Book BSE,Click on About This Book,2025-07-06T15:11:14Z,2025-07-06T15:13:52Z,KFX
2025-02-09T22:35:32Z,www.amazon.com,Not Available,Kindle for iOS,B0BHV6ZHT1,Before You Go BSE,Reach end of book,2025-02-09T22:35:28Z,2025-02-09T22:35:32Z,KFX
2024-02-28T19:53:50Z,www.amazon.com,Not Available,Kindle for iOS,B0BDW83LGQ,Before You Go BSE,Reach end of book,2024-02-28T19:53:48Z,2024-02-28T19:53:50Z,KFX
2024-03-20T04:18:46Z,www.amazon.com,Not Available,Kindle for iOS,B008UCJ7KO,Before You Go BSE,Reach end of book,2024-03-20T04:18:34Z,2024-03-20T04:18:46Z,KFX
2024-09-30T23:07:21Z,www.amazon.com,Not Available,Kindle for iOS,B09CP3FR9K,Before You Go BSE,Reach end of book,2024-09-30T23:07:15Z,2024-09-30T23:07:21Z,KFX
2024-10-30T04:09:26Z,www.amazon.com,Not Available,Kindle for iOS,B0BSXMNJ8C,Before You Go BSE,Reach end of book,2024-10-30T04:08:18Z,2024-10-30T04:09:26Z,KFX
2025-03-19T22:32:42Z,www.amazon.com,Not Available,Kindle for iOS,B0DPLWFDWY,About This Book BSE,Open the book,2025-03-19T22:32:40Z,2025-03-19T22:32:42Z,KFX
2024-10-29T15:17:56Z,www.amazon.com,Not Available,Kindle for iOS,B0BKTCYCJ1,Before You Go BSE,Reach end of book,2024-10-29T15:17:46Z,2024-10-29T15:17:56Z,KFX
2025-01-14T09:45:30Z,www.amazon.com,Not Available,Kindle for iOS,B0B2L6CBXQ,Before You Go BSE,Reach end of book,2025-01-14T09:44:55Z,2025-01-14T09:45:30Z,KFX
