created_timestamp,preferred_marketplace,country,device_family,content_id,connection _type,connection_state,connection_setting_changed
2024-04-08T23:39:24Z,US,US,Kindle E-reader,B00QE1DLIC,wireless,wifi,by user
2024-04-10T08:32:28Z,US,US,Kindle E-reader,Not Available,wireless,wifi,by user
2024-03-30T21:48:10Z,US,US,Kindle E-reader,Not Available,wireless,wifi,by user
2024-04-11T02:43:05Z,US,US,Kindle E-reader,B01L7Q54NI,wireless,wifi,by user
2024-04-13T08:32:31Z,US,US,Kindle E-reader,Not Available,wireless,wifi,by user
2024-04-08T15:00:05Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-09T08:32:21Z,US,US,Kindle E-reader,Not Available,wireless,wifi,by user
2024-04-06T20:21:00Z,US,US,Kindle E-reader,B00FO60CH6,wireless,wifi,by user
2024-03-31T12:48:49Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-10T01:42:34Z,US,US,Kindle E-reader,Not Available,wireless,wifi,by user
2024-04-06T09:53:14Z,US,US,Kindle E-reader,B00BKK6E04,wireless,wifi,by user
2024-04-08T18:03:09Z,US,US,Kindle E-reader,B00O6V45CS,wireless,wifi,by user
2024-04-14T02:51:21Z,US,US,Kindle E-reader,B0778CV9Y4,wireless,wifi,by user
2024-03-31T03:59:49Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-07T07:15:48Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-11T02:13:17Z,US,US,Kindle E-reader,B01L7Q54NI,wireless,wifi,by user
2024-03-29T08:32:29Z,US,US,Kindle E-reader,Not Available,wireless,wifi,by user
2024-03-31T00:23:54Z,US,US,Kindle E-reader,Not Available,wireless,wifi,by user
2024-03-31T08:32:26Z,US,US,Kindle E-reader,B07ZFZZ2GQ,wireless,wifi,by user
2024-04-07T04:00:15Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-08T23:14:24Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-03-31T01:26:00Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-03-30T21:34:16Z,US,US,Kindle E-reader,Not Available,wireless,wifi,by user
2024-04-07T03:56:42Z,US,US,Kindle E-reader,B00O6V45E6,wireless,wifi,by user
2024-03-31T13:11:54Z,US,US,Kindle E-reader,Not Available,wireless,wifi,by user
2024-03-31T08:34:05Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-02T04:28:10Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-03-31T05:03:11Z,US,US,Kindle E-reader,B07ZFZZ2GQ,wireless,wifi,by user
2024-04-01T08:32:26Z,US,US,Kindle E-reader,B09Z7BYZS3,wireless,wifi,by user
2024-04-06T15:11:23Z,US,US,Kindle E-reader,B00BKK6E04,wireless,wifi,by user
