ASIN,"Content Update Receipt Date","Content Update Start Date","Creation Date","Current Book Format","Device Family","Device Serial Number",Marketplace,"New Book Format",Reason,"Software Version",Status,"Update Date","Update Target"
B0BCHJ9885,"NOT AVAILABLE","NOT AVAILABLE",2024-03-10T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B07B9WH8KT,"NOT AVAILABLE","NOT AVAILABLE",2024-03-11T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B071NRXLXB,"NOT AVAILABLE","NOT AVAILABLE",2024-03-11T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B0CFD3FF6N,"NOT AVAILABLE","NOT AVAILABLE",2024-03-11T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B0CL7H4JD9,"NOT AVAILABLE","NOT AVAILABLE",2024-03-11T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B09P5GT746,"NOT AVAILABLE","NOT AVAILABLE",2024-03-12T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B0CL7GMPD4,"NOT AVAILABLE","NOT AVAILABLE",2024-03-12T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B08266PLCC,"NOT AVAILABLE","NOT AVAILABLE",2024-03-13T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B08266SRVP,"NOT AVAILABLE","NOT AVAILABLE",2024-03-14T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B0CL7L1Y9X,"NOT AVAILABLE","NOT AVAILABLE",2024-03-14T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
