asin,end_time,reading_marketplace,start_time,total_reading_milliseconds
B0BDW83LGQ,2024-02-28T11:24:23.500Z,US,2024-02-28T11:06:29.100Z,1074400
B0BDW83LGQ,2024-02-28T11:49:49Z,US,2024-02-28T11:49:28.800Z,20200
B0BDW83LGQ,2024-02-28T13:07:28.200Z,US,2024-02-28T12:59:54.700Z,453500
B0BDW9C3JY,2024-02-27T17:06:26.700Z,US,2024-02-27T16:56:25.100Z,601600
B0BDW83LGQ,2024-02-28T04:37:24.400Z,US,2024-02-28T04:33:13.300Z,251100
B0BDW9C3JY,2024-02-27T21:59:54.400Z,US,2024-02-27T21:37:28.800Z,1345600
B0BDW83LGQ,2024-02-27T23:49:33.900Z,US,2024-02-27T23:36:52.100Z,761800
B0BDW9C3JY,2024-02-27T18:31:40.700Z,US,2024-02-27T18:20:25.800Z,674900
B0BDW83LGQ,2024-02-28T12:26:22.400Z,US,2024-02-28T12:14:32.200Z,710200
B09X6KD3CS,2024-02-27T06:10:26.939Z,US,2024-02-27T06:10:26.939Z,0
