created_timestamp,preferred_marketplace,country,device_family,ASIN,User Action,Context,Gesture
2024-04-10T01:42:47Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_HOME,Tap
2024-04-06T22:22:01Z,www.amazon.com,US,Kindle E-reader,B00H57X864,exitBook,In-book,Tap
2024-04-20T22:25:32Z,www.amazon.com,US,Kindle E-reader,B075HXST4P,exitBook,In-book,Tap
2024-04-06T00:51:39Z,www.amazon.com,US,Kindle E-reader,B008WOTQGU,exitBook,In-book,Tap
2024-04-08T02:04:51Z,www.amazon.com,US,Kindle E-reader,Not Available,Library,KPP_HOME,Tap
2024-04-07T17:52:56Z,www.amazon.com,US,Kindle E-reader,B00H57X864,exitBook,In-book,Tap
2024-04-04T03:11:29Z,www.amazon.com,US,Kindle E-reader,Not Available,Menu,KPP_HOME,Tap
2024-04-20T22:27:35Z,www.amazon.com,US,Kindle E-reader,B0CW1KRY9H,exitBook,In-book,Tap
2024-04-10T02:50:24Z,www.amazon.com,US,Kindle E-reader,Not Available,KPP_CLOSE_BROWSER,Browser,Tap
2024-03-30T05:39:20Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,exitBook,In-book,Tap
2024-04-11T00:54:57Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_LIBRARY,Tap
2024-03-30T07:15:05Z,www.amazon.com,US,Kindle E-reader,B09DTJF1WD,Goto,In-book,Tap
2024-03-29T02:57:35Z,www.amazon.com,US,Kindle E-reader,Not Available,Close,KPP_SETTINGS,Tap
2024-04-15T00:56:01Z,www.amazon.com,US,Kindle E-reader,Not Available,Close,Store,Tap
2024-03-30T05:39:54Z,www.amazon.com,US,Kindle E-reader,B09DTJF1WD,Goto,In-book,Tap
2024-04-15T00:54:37Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_HOME,Tap
2024-04-06T16:50:50Z,www.amazon.com,US,Kindle E-reader,B00BKK6E04,exitBook,In-book,Tap
2024-03-30T00:55:54Z,www.amazon.com,US,Kindle E-reader,*1a9c472a7d5089a9c584f12801fc383b43765ca5,exitBook,In-book,Tap
2024-07-17T15:40:58Z,www.amazon.com,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-04-16T03:51:16Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_LIBRARY,Tap
2024-03-30T01:44:00Z,www.amazon.com,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-03-30T01:44:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Close,KPP_SETTINGS,Tap
2024-04-08T22:50:18Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,exitBook,In-book,Tap
