created_timestamp,preferred_marketplace,device_family,card_name,card_position
2024-03-03T07:31:09Z,US,Kindle for iOS,,7
2024-03-11T06:53:51Z,US,Kindle for iOS,Recommended for you in Kindle Unlimited,4
2024-04-06T19:59:50Z,US,Kindle for iOS,Reading Insights,5
2024-03-16T18:45:41Z,US,Kindle for iOS,,4
2024-03-28T21:24:24Z,US,Kindle for iOS,Reading Insights,4
2024-04-15T05:24:39Z,US,Kindle for iOS,Reading Insights,4
2024-03-31T12:56:11Z,US,Kindle for iOS,,2
2024-03-29T02:53:16Z,US,Kindle for iOS,Upcoming releases for you,10
2024-04-07T03:04:44Z,US,Kindle for iOS,,2
2024-03-24T04:34:28Z,US,Kindle for iOS,Reading Insights,4
2024-03-25T15:32:45Z,US,Kindle for iOS,,5
2024-04-07T02:40:43Z,US,Kindle for iOS,,4
2024-02-26T00:13:13Z,US,Kindle for iOS,Based on your reading,4
2024-03-17T01:56:08Z,US,Kindle for iOS,More like your recent books,4
2024-03-08T17:07:03Z,US,Kindle for iOS,Reading Insights,4
2024-03-29T02:55:01Z,US,Kindle for iOS,,12
2024-03-17T01:40:53Z,US,Kindle for iOS,More like your recent books,4
2024-03-05T15:03:44Z,US,Kindle for iOS,,12
2024-02-27T12:13:38Z,US,Kindle for iOS,More like [book title],7
2024-03-10T01:21:12Z,US,Kindle for iOS,Reading Insights,4
2024-02-28T19:53:51Z,US,Kindle for iOS,,4
2024-04-14T16:01:38Z,US,Kindle for iOS,Based on your reading,4
2024-03-05T15:03:53Z,US,Kindle for iOS,Follow the author,13
2024-02-27T22:56:08Z,US,Kindle for iOS,,4
2024-03-15T09:11:10Z,US,Kindle for iOS,More like your recent books,4
2024-03-06T12:22:00Z,US,Kindle for iOS,Reading Insights,4
2024-03-21T23:20:41Z,US,Kindle for iOS,,2
2024-03-16T02:44:38Z,US,Kindle for iOS,More like your recent books,4
2024-04-04T06:15:46Z,US,Kindle for iOS,,4
2024-04-05T23:40:48Z,US,Kindle for iOS,,2
2024-02-27T22:57:08Z,US,Kindle for iOS,,4
2024-03-30T00:11:26Z,US,Kindle for iOS,,5
2024-03-14T11:11:47Z,US,Kindle for iOS,More like your recent books,4
2024-04-14T00:33:54Z,US,Kindle for iOS,Based on your reading,4
2024-03-11T07:04:53Z,US,Kindle for iOS,,12
2024-03-07T04:55:32Z,US,Kindle for iOS,,8
2024-02-25T14:34:27Z,US,Kindle for iOS,Based on your reading,4
2024-04-06T19:59:50Z,US,Kindle for iOS,,6
2024-02-28T18:13:30Z,US,Kindle for iOS,,2
2024-04-02T21:32:07Z,US,Kindle for iOS,,4
2024-04-04T19:08:24Z,US,Kindle for iOS,,2
2024-04-04T01:21:30Z,US,Kindle for iOS,Reading Insights,4
2024-03-14T05:21:30Z,US,Kindle for iOS,More like your recent books,4
2024-03-30T00:41:38Z,US,Kindle for iOS,,5
2024-04-10T00:37:08Z,US,Kindle for iOS,,2
2024-03-28T21:22:37Z,US,Kindle for iOS,Reading Insights,4
2024-03-25T08:31:16Z,US,Kindle for iOS,Reading Insights,4
