ASIN,Annotation Type,Customer modified date on device,DSN,ContentType,Format,Creation Date,LastUpdatedDate,Highlight,Version,Selection Type,Note,Is Deleted
B01LWVWGZW,kindle.last_read,2024-04-10T02:50:39Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-10T01:34:39Z,2024-04-10T02:50:38Z,,Not Available,Not Available,Not Available,FALSE
B01LWVWGZW,kindle.most_recent_read,2024-04-10T02:50:39Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-10T01:34:39Z,2024-04-10T02:50:38Z,,Not Available,Not Available,Not Available,FALSE
B01LWVWGZW,kindle.continuous_read,2024-04-10T02:50:39Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-10T01:34:39Z,2024-04-10T02:50:38Z,,Not Available,Not Available,Not Available,FALSE
B01L7Q54NI,kindle.last_read,2024-04-11T03:24:57Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-10T18:19:56Z,2024-04-11T03:24:56Z,,Not Available,Not Available,Not Available,FALSE
B01L7Q54NI,kindle.most_recent_read,2024-04-11T03:24:57Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-10T18:19:56Z,2024-04-11T03:24:56Z,,Not Available,Not Available,Not Available,FALSE
B01L7Q54NI,kindle.continuous_read,2024-04-11T03:24:57Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-10T18:19:56Z,2024-04-11T03:24:56Z,,Not Available,Not Available,Not Available,FALSE
B0CK8TTLS8,audible.last_heard,2024-04-11T21:26:43Z,QFjDUBTeNSL1a0QIguiSRgF8qfZaWxEm9nvz9A0E,AUDI,M4A_AAX,2024-04-11T21:26:10Z,2024-04-11T21:35:31Z,,Not Available,Not Available,Not Available,FALSE
B09HJDSQ5P,kindle.last_read,2024-04-12T17:20:18Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-03-29T20:50:08Z,2024-04-12T17:20:19Z,,Not Available,Not Available,Not Available,FALSE
B09HJDSQ5P,kindle.most_recent_read,2024-04-12T21:00:12Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-03-29T20:50:08Z,2024-04-12T21:00:14Z,,Not Available,Not Available,Not Available,FALSE
B09HJDSQ5P,kindle.continuous_read,2024-04-12T21:00:12Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-03-29T20:50:08Z,2024-04-12T21:00:14Z,,Not Available,Not Available,Not Available,FALSE
