"Start Date","End Date","Event Duration Milliseconds","Start Position Milliseconds","End Position Milliseconds","Product Name","ASIN","Book Length Milliseconds","Delivery Type","Narration Speed","Bookmark","Audio Type","Asin Owned","Listening Mode","Store","App Version","Local Timezone"
"2025-09-14","2025-09-14","665","3219516","3219516","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","6328","3213461","3219398","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","2339","3211000","3213456","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","5676","3235031","3241658","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","27175","3202000","3235023","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","2571","3229700","3232901","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","8830","3219307","3229698","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","16","3219307","3218056","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","9428","3207000","3218054","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","69561","3153207","3237383","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","29377","2957265","2993063","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","26326","2925347","2957263","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","4188","2922718","2927810","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","1961","2920556","2922717","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","1194","2915949","2917304","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","22656","2887108","2915947","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","91613","2776815","2887108","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","2614","2744609","2747485","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","32455","2735336","2774608","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","7518","2776815","2785486","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","96436","2737305","2854482","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","480652","2151088","2737305","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","49291","2121497","2181085","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","58838","2087177","2158565","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","168731","1881716","2087093","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","11704","2087177","2101045","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","397012","1603201","2087099","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","91414","1492066","1603201","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
