created_timestamp,preferred_marketplace,country,device_family,ASIN,reading_action_display,entry_point,display_start,display_end,book_format
2024-03-03T07:25:42Z,US,Not Available,Kindle for iOS,B09S1CMMBT,Before You Go BSE,Reach end of book,2024-03-03T07:25:34Z,2024-03-03T07:25:42Z,KFX
2024-03-08T09:23:06Z,US,Not Available,Kindle for iOS,B083TZV25B,Before You Go BSE,Reach end of book,2024-03-08T09:23:03Z,2024-03-08T09:23:06Z,KFX
2024-03-08T20:06:38Z,US,Not Available,,B01D6TA9Y8,About This Book BSE,Open the book,2024-03-08T20:06:36Z,2024-03-08T20:06:38Z,KFX
2024-03-04T06:19:53Z,US,Not Available,Kindle for iOS,B01MTZDCUN,Before You Go BSE,Reach end of book,2024-03-04T06:19:36Z,2024-03-04T06:19:53Z,KFX
2024-04-01T19:09:11Z,US,Not Available,Kindle for iOS,B09Z7BYZS3,Before You Go BSE,Reach end of book,2024-04-01T19:09:00Z,2024-04-01T19:09:11Z,KFX
2024-03-14T20:50:49Z,US,Not Available,Kindle for iOS,B08266V1T2,Before You Go BSE,Reach end of book,2024-03-14T20:50:46Z,2024-03-14T20:50:49Z,KFX
2024-03-30T21:33:43Z,US,Not Available,Kindle for iOS,B09DTJF1WD,Before You Go BSE,Reach end of book,2024-03-30T21:33:12Z,2024-03-30T21:33:43Z,KFX
2024-03-03T07:27:50Z,US,Not Available,Kindle for iOS,B0994RZ2L1,Before You Go BSE,Reach end of book,2024-03-03T07:27:46Z,2024-03-03T07:27:50Z,KFX
2024-03-05T01:51:31Z,US,Not Available,Kindle for iOS,B09NJBVM8Z,Before You Go BSE,Reach end of book,2024-03-05T01:51:28Z,2024-03-05T01:51:31Z,KFX
2024-02-26T07:50:54Z,US,Not Available,Kindle for iOS,B09HLCTYZ8,Before You Go BSE,Reach end of book,2024-02-26T07:50:51Z,2024-02-26T07:50:54Z,KFX
2024-02-27T21:59:29Z,US,Not Available,Kindle for iOS,B0BDW9C3JY,Before You Go BSE,Reach end of book,2024-02-27T21:59:28Z,2024-02-27T21:59:29Z,KFX
2024-02-24T18:32:34Z,US,Not Available,Kindle for iOS,B08K62VYDJ,Before You Go BSE,Reach end of book,2024-02-24T18:32:32Z,2024-02-24T18:32:34Z,KFX
2024-03-05T15:04:38Z,US,Not Available,Kindle for iOS,B01N7GREG9,Before You Go BSE,Reach end of book,2024-03-05T15:04:26Z,2024-03-05T15:04:38Z,KFX
2024-03-25T08:30:23Z,US,Not Available,Kindle for iOS,B00V3MY186,Before You Go BSE,Reach end of book,2024-03-25T08:30:13Z,2024-03-25T08:30:23Z,KFX
2024-02-24T18:32:45Z,US,Not Available,Kindle for iOS,B08K62VYDJ,Before You Go BSE,Reach end of book,2024-02-24T18:32:43Z,2024-02-24T18:32:45Z,KFX
2024-02-24T08:47:11Z,US,Not Available,Kindle for iOS,B0CB1RMZRC,Before You Go BSE,Reach end of book,2024-02-24T08:47:08Z,2024-02-24T08:47:11Z,KFX
2024-03-27T00:35:38Z,US,Not Available,Kindle for iOS,B0BCZWC3QZ,Before You Go BSE,Reach end of book,2024-03-27T00:35:25Z,2024-03-27T00:35:38Z,KFX
2024-03-26T11:03:43Z,US,Not Available,Kindle for iOS,B07QNKVR3N,Before You Go BSE,Reach end of book,2024-03-26T11:03:31Z,2024-03-26T11:03:43Z,KFX
2024-03-27T22:43:02Z,US,Not Available,Kindle for iOS,B09ZKRWCG4,Before You Go BSE,Reach end of book,2024-03-27T22:42:49Z,2024-03-27T22:43:02Z,KFX
2024-03-20T04:21:07Z,US,Not Available,Kindle for iOS,B00NEQRNVG,About This Book BSE,Click on About This Book,2024-03-20T04:20:25Z,2024-03-20T04:21:07Z,KFX
2024-03-06T04:54:19Z,US,Not Available,Kindle for iOS,B07C7N5CBS,Before You Go BSE,Reach end of book,2024-03-06T04:53:53Z,2024-03-06T04:54:19Z,KFX
2024-03-03T06:59:41Z,US,Not Available,Kindle for iOS,B09QY2KWKY,Before You Go BSE,Reach end of book,2024-03-03T06:59:14Z,2024-03-03T06:59:41Z,KFX
2024-03-05T15:02:39Z,US,Not Available,Kindle for iOS,B07QNKVR3N,Before You Go BSE,Reach end of book,2024-03-05T15:02:31Z,2024-03-05T15:02:39Z,KFX
