created_timestamp,search_string_length,preferred_marketplace,app_tab,country,outcome,device_family,store_results_shown,ASIN,library_results_shown,store_result_position,library_result_position,search_id
2024-10-13T16:12:11Z,9,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,2,No Results Selected,6CF1BB29-8B31-46E9-95E0-41BD931E7D75
2025-05-31T03:41:00Z,13,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,5F346CF1-C75B-4FC1-9B38-8E20FF836DC9
2024-12-10T01:03:21Z,16,www.amazon.com,Library,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,80DA76F1-9F35-4DED-9054-D6511CCB35AC
2024-12-09T22:01:08Z,15,www.amazon.com,Home,,LibraryBookOpen,Kindle for iOS,yes,,Yes,No Results Selected,1,44679844-6525-40E6-8350-DF4C5170BE07
2025-04-13T23:40:00Z,0,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,3753044C-D093-40D2-B529-5DB161C1B35D
2025-04-12T14:40:44Z,12,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,2,No Results Selected,A9742A82-9911-4B78-AB98-92243517FEC1
2024-07-30T11:27:19Z,10,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,6,No Results Selected,90B6AF44-464F-4CB8-9264-27FFCDF99D2E
2025-01-15T01:46:13Z,22,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,A068E702-FC66-4A7D-B662-285C505334C2
2024-10-04T03:03:38Z,6,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,106856F8-A85D-477D-83F0-D1A46009BCE5
2024-05-21T00:15:41Z,10,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,4992DF82-8F60-48CD-910D-DBD9E19E0FD5
2024-05-21T00:23:20Z,12,www.amazon.com,Home,,ExitSearch,Kindle for iOS,yes,,No,1,No Results Selected,4992DF82-8F60-48CD-910D-DBD9E19E0FD5
2025-03-08T02:11:02Z,10,www.amazon.com,Home,,LibraryBookOpen,Kindle for iOS,yes,,Yes,No Results Selected,1,83A3814E-B5D2-4D78-896F-ED8955434F12
2025-07-31T22:26:04Z,6,www.amazon.com,Home,,LibraryBookOpen,Kindle for iOS,yes,,Yes,No Results Selected,1,44E096BD-D3C3-48DB-AB1F-DEB715F20C52
2024-05-27T12:12:08Z,38,www.amazon.com,Home,,SearchAgain,Kindle for iOS,yes,,No,1,No Results Selected,144E8388-49CD-4D70-BC0A-03438B9849C2
