ASIN,country,created_timestamp,preferred_marketplace,device_family,item_clicked_on_ASIN,card_position,item_position_within_card,action,action_type,action_source,kindle_app_version
Not Available,,2025-06-01T05:20:17Z,www.amazon.com,Kindle for iOS,B0DPMJW8D2,7,1,QUICKVIEW,tap,BOOK_ENTITY_LIST.0,1191415946
Not Available,,2025-03-21T18:33:43Z,www.amazon.com,Kindle for iOS,B0DSLWRFG1,4,4,QUICKVIEW,tap,BOOK_ENTITY_LIST.3,1191415306
Not Available,,2024-11-15T03:44:32Z,www.amazon.com,Kindle for iOS,,1,2,FEED_CHANGE,tap,BROWSE_OPTIONS_LIST_ZONE.1,1191414672
Not Available,,2025-05-20T05:26:37Z,www.amazon.com,Kindle for iOS,B07NF2BDFZ,10,6,QUICKVIEW,tap,BOOK_ENTITY_LIST.5,1191415818
Not Available,,2025-05-28T02:27:48Z,www.amazon.com,Kindle for iOS,B0DFGDFM4V,4,2,QUICKVIEW,tap,BOOK_ENTITY_LIST.1,1191415946
Not Available,,2025-05-28T02:28:19Z,www.amazon.com,Kindle for iOS,B0D5YMWD9Y,4,8,QUICKVIEW,tap,BOOK_ENTITY_LIST.7,1191415946
Not Available,,2025-09-02T01:34:47Z,www.amazon.com,Kindle for iOS,,5,1,WEB,tap,WEBVIEW_1,1191416458
Not Available,,2024-10-27T09:53:59Z,www.amazon.com,Kindle for iOS,B088K2VNR6,4,4,QUICKVIEW,tap,BOOK_ENTITY_LIST.3,1191414410
Not Available,,2025-05-25T21:41:49Z,www.amazon.com,Kindle for iOS,,6,1,QUICKVIEW,tap,WEBVIEW_1,1191415946
Not Available,,2025-06-06T03:40:37Z,www.amazon.com,Kindle for iOS,B0DPTP2XXP,7,18,QUICKVIEW,tap,BOOK_ENTITY_LIST.17,1191415946
Not Available,,2025-04-24T23:02:55Z,www.amazon.com,Kindle for iOS,B0DZ3JM6XM,10,10,QUICKVIEW,tap,BOOK_ENTITY_LIST.9,1191415648
Not Available,,2025-04-12T14:24:23Z,www.amazon.com,Kindle for iOS,B0F499LJL8,6,3,QUICKVIEW,tap,BOOK_ENTITY_LIST.2,1191415568
Not Available,,2025-03-18T00:52:17Z,www.amazon.com,Kindle for iOS,B0B6PRL9H5,4,1,QUICKVIEW,tap,BOOK_ENTITY_LIST.0,1191415306
Not Available,,2025-03-19T22:25:52Z,www.amazon.com,Kindle for iOS,B0BGT7SZPT,6,14,QUICKVIEW,tap,BOOK_ENTITY_LIST.13,1191415306
Not Available,,2025-10-08T02:51:52Z,www.amazon.com,Kindle for iOS,,15,1,STREAK_CALENDAR,click,WEBVIEW_1,1191417120
Not Available,,2025-04-24T23:02:48Z,www.amazon.com,Kindle for iOS,B0DXRFJWTR,10,7,QUICKVIEW,tap,BOOK_ENTITY_LIST.6,1191415648
Not Available,,2025-03-17T00:50:07Z,www.amazon.com,Kindle for iOS,B09NLKXZ4J,15,3,QUICKVIEW,tap,BOOK_ENTITY_LIST.2,1191415306
Not Available,,2025-06-09T00:58:05Z,www.amazon.com,Kindle for iOS,,1,3,FEED_CHANGE,tap,BROWSE_OPTIONS_LIST_ZONE.2,1191415946
Not Available,,2025-01-12T02:04:04Z,www.amazon.com,Kindle for iOS,,6,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191414794
Not Available,,2025-06-05T01:36:56Z,www.amazon.com,Kindle for iOS,B0DKG9MS7S,6,8,QUICKVIEW,tap,BOOK_ENTITY_LIST.7,1191415946
Not Available,,2025-01-28T20:41:45Z,www.amazon.com,Kindle for iOS,,14,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191414794
Not Available,,2025-06-02T14:38:30Z,www.amazon.com,Kindle for iOS,,7,1,CATEGORY,click,WEBVIEW_1,1191415946
Not Available,,2025-02-11T00:19:23Z,www.amazon.com,Kindle for iOS,B0D7NN1P97,4,1,QUICKVIEW,tap,BOOK_ENTITY_LIST.0,1191414928
Not Available,,2025-05-28T02:31:45Z,www.amazon.com,Kindle for iOS,,15,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191415946
Not Available,,2025-09-21T00:26:51Z,www.amazon.com,Kindle for iOS,B0DPMJW8D2,9,1,QUICKVIEW,tap,BOOK_ENTITY_LIST.0,1191416970
Not Available,,2025-06-06T03:49:07Z,www.amazon.com,Kindle for iOS,,1,3,FEED_CHANGE,tap,BROWSE_OPTIONS_LIST_ZONE.2,1191415946
Not Available,,2025-09-18T11:29:54Z,www.amazon.com,Kindle for iOS,,9,1,STREAK_CALENDAR,click,WEBVIEW_1,1191416970
Not Available,,2025-05-31T03:40:07Z,www.amazon.com,Kindle for iOS,B0D5YMWD9Y,5,7,QUICKVIEW,tap,BOOK_ENTITY_LIST.6,1191415946
Not Available,,2025-07-27T17:46:18Z,www.amazon.com,Kindle for iOS,,8,1,STREAK_CALENDAR,click,WEBVIEW_1,1191416458
Not Available,,2025-03-28T22:49:03Z,www.amazon.com,Kindle for iOS,,1,3,FEED_CHANGE,tap,BROWSE_OPTIONS_LIST_ZONE.2,1191415306
Not Available,,2025-04-17T02:08:02Z,www.amazon.com,Kindle for iOS,B0D888FZSD,11,6,QUICKVIEW,tap,BOOK_ENTITY_LIST.5,1191415568
Not Available,,2025-07-22T20:03:54Z,www.amazon.com,Kindle for iOS,B0FBMM3SCD,7,1,QUICKVIEW,tap,BOOK_ENTITY_LIST.0,1191416330
Not Available,,2025-09-21T00:25:19Z,www.amazon.com,Kindle for iOS,B0FLX3GB4H,4,1,QUICKVIEW,tap,BOOK_ENTITY_LIST.0,1191416970
Not Available,,2025-09-25T01:16:18Z,www.amazon.com,Kindle for iOS,,5,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191416970
Not Available,,2025-03-14T17:57:22Z,www.amazon.com,Kindle for iOS,B0B6PRL9H5,4,1,QUICKVIEW,tap,BOOK_ENTITY_LIST.0,1191415306
Not Available,,2025-01-28T20:41:14Z,www.amazon.com,Kindle for iOS,B0D1PC9FHN,12,1,QUICKVIEW,tap,BOOK_ENTITY_LIST.0,1191414794
Not Available,,2025-05-28T02:28:25Z,www.amazon.com,Kindle for iOS,B0F26K3NVW,4,12,QUICKVIEW,tap,BOOK_ENTITY_LIST.11,1191415946
Not Available,,2025-05-25T21:43:37Z,www.amazon.com,Kindle for iOS,,14,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191415946
Not Available,,2025-06-15T23:03:54Z,www.amazon.com,Kindle for iOS,,7,1,CATEGORY,click,WEBVIEW_1,1191416080
Not Available,,2025-06-11T23:42:38Z,www.amazon.com,Kindle for iOS,B0DWSZPM62,4,16,QUICKVIEW,tap,BOOK_ENTITY_LIST.15,1191415946
Not Available,,2025-05-28T02:29:34Z,www.amazon.com,Kindle for iOS,B0DWSZPM62,8,11,QUICKVIEW,tap,BOOK_ENTITY_LIST.10,1191415946
Not Available,,2025-04-12T03:17:28Z,www.amazon.com,Kindle for iOS,B0DWLNDVJS,8,1,QUICKVIEW,tap,BOOK_ENTITY_LIST.0,1191415568
Not Available,,2025-05-28T02:31:40Z,www.amazon.com,Kindle for iOS,,14,1,STORE,tap,BUTTON_1,1191415946
Not Available,,2025-01-28T20:40:02Z,www.amazon.com,Kindle for iOS,B007N6JEQ0,4,5,QUICKVIEW,tap,BOOK_ENTITY_LIST.4,1191414794
Not Available,,2025-08-12T23:07:32Z,www.amazon.com,Kindle for iOS,B07GN867XT,5,1,QUICKVIEW,tap,BOOK_ENTITY_LIST.0,1191416458
Not Available,,2025-06-01T05:19:20Z,www.amazon.com,Kindle for iOS,B0F26K3NVW,4,2,QUICKVIEW,tap,BOOK_ENTITY_LIST.1,1191415946
Not Available,,2025-09-21T00:26:36Z,www.amazon.com,Kindle for iOS,B0D6JMKGK5,5,8,QUICKVIEW,tap,BOOK_ENTITY_LIST.7,1191416970
Not Available,,2024-10-23T21:59:25Z,www.amazon.com,Kindle for iOS,B0CVRZZV88,4,1,QUICKVIEW,tap,BOOK_ENTITY_LIST.0,1191414410
Not Available,,2025-04-03T21:39:12Z,www.amazon.com,Kindle for iOS,B0DJPZ5CGC,9,1,QUICKVIEW,tap,BOOK_ENTITY_LIST.0,1191415434
Not Available,,2025-04-24T23:03:45Z,www.amazon.com,Kindle for iOS,B0C1LJS1XX,12,7,QUICKVIEW,tap,BOOK_ENTITY_LIST.6,1191415648
