Created Timestamp,Marketplace ID,Country,Device Family,ASIN,Context,Action,Reading Mode,Duration,Audio Type
2024-03-21T04:02:49Z,US,,Kindle for iOS,B0183KJZE0,Inbook Mini Player,Pause,Vertical Scroll View,568,Audible
2024-03-19T01:11:11Z,US,,Kindle for iOS,B008673ZAQ,Inbook Mini Player,Speed Option Selected,Vertical Scroll View,0,Audible
2024-03-27T17:54:57Z,US,,Kindle for iOS,B09ZKRWCG4,Inbook Mini Player,Open Full Audio Player,Vertical Scroll View,0,Audible
2024-03-21T11:15:22Z,US,,Kindle for iOS,B0183KJZE0,Inbook Full Player,Skip to Previous Chapter,Vertical Scroll View,0,Audible
2024-03-23T00:08:55Z,US,,Kindle for iOS,B0CHWQPB49,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-21T12:42:50Z,US,,Kindle for iOS,,Out of App,Rewind 30 Seconds,Paginated View,0,Audible
2024-03-27T13:33:13Z,US,,Kindle for iOS,B09ZKRWCG4,Inbook Mini Player,Pause,Vertical Scroll View,0,Audible
2024-03-22T19:20:53Z,US,,,,Inbook Mini Player,Pause,Vertical Scroll View,579,Audible
2024-03-22T14:32:02Z,US,,,B0CHWQPB49,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-21T08:23:13Z,US,,Kindle for iOS,B0183KJZE0,Inbook Full Player,Open Timer Control,Vertical Scroll View,0,Audible
2024-03-11T07:14:31Z,US,,Kindle for iOS,B0CL7GMPD4,Inbook Mini Player,Tap to Download,Vertical Scroll View,0,Audible
2024-03-20T22:59:05Z,US,,Kindle for iOS,B00NEQRNVG,Inbook Mini Player,Pause,Vertical Scroll View,617,Audible
2024-03-20T23:04:39Z,US,,Kindle for iOS,,Out of App,Pause,Paginated View,6,Audible
2024-03-27T02:35:19Z,US,,Kindle for iOS,B08X472VK3,Inbook Mini Player,Pause,Vertical Scroll View,249,Audible
2024-03-22T14:37:10Z,US,,,,Inbook Mini Player,Pause,Vertical Scroll View,363,Audible
2024-03-21T02:53:18Z,US,,Kindle for iOS,B0183KJZE0,Inbook Full Player,Time Option Selected,Vertical Scroll View,0,Audible
2024-03-20T23:06:05Z,US,,Kindle for iOS,,Out of App,Pause,Paginated View,39,Audible
2024-03-27T02:19:28Z,US,,Kindle for iOS,B08X472VK3,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-21T17:43:53Z,US,,Kindle for iOS,B0183KJZE0,Inbook Mini Player,Pause,Vertical Scroll View,697,Audible
2024-03-26T04:29:15Z,US,,Kindle for iOS,B0BJMZ2FQ3,Inbook Full Player,Play,Vertical Scroll View,0,Audible
2024-03-19T01:17:39Z,US,,Kindle for iOS,B008673ZAQ,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-27T03:37:18Z,US,,Kindle for iOS,B08X472VK3,Inbook Mini Player,Open Full Audio Player,Vertical Scroll View,0,Audible
2024-03-20T23:05:33Z,US,,Kindle for iOS,,Out of App,Play,Paginated View,0,Audible
2024-03-01T23:11:51Z,US,,Kindle for iOS,B0994RZ2L1,Inbook Mini Player,Rewind 30 Seconds,Vertical Scroll View,0,Audible
2024-03-19T21:21:20Z,US,,Kindle for iOS,B008UCJ7KO,Inbook Mini Player,Pause,Vertical Scroll View,2336,Audible
2024-03-22T20:53:50Z,US,,Kindle for iOS,B0CHWQPB49,Inbook Mini Player,Pause,Vertical Scroll View,1494,Audible
2024-03-21T21:32:42Z,US,,Kindle for iOS,B0183KJZE0,Inbook Mini Player,Pause,Vertical Scroll View,419,Audible
2024-03-22T00:42:00Z,US,,Kindle for iOS,B0183KJZE0,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-07T22:43:14Z,US,,Kindle for iOS,B083TZV25B,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-19T20:37:32Z,US,,Kindle for iOS,B008UCJ7KO,Out of App,Pause,Vertical Scroll View,0,Audible
2024-03-19T01:14:10Z,US,,Kindle for iOS,B008673ZAQ,Inbook Full Player,Time Option Selected,Vertical Scroll View,0,Audible
2024-03-27T12:25:11Z,US,,Kindle for iOS,B09ZKRWCG4,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-25T18:03:04Z,US,,Kindle for iOS,B07Y82JMF8,Inbook Mini Player,Pause,Vertical Scroll View,287,Audible
2024-03-21T12:42:35Z,US,,Kindle for iOS,,Out of App,Rewind 30 Seconds,Paginated View,0,Audible
2024-03-22T19:50:11Z,US,,Kindle for iOS,B0CHWQPB49,Inbook Mini Player,Tap to Download,Vertical Scroll View,0,Audible
2024-03-11T10:29:25Z,US,,Kindle for iOS,B0CL7L1Y9X,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-27T14:37:22Z,US,,Kindle for iOS,B09ZKRWCG4,Inbook Mini Player,Pause,Vertical Scroll View,2306,Audible
2024-03-19T20:37:30Z,US,,Kindle for iOS,B008UCJ7KO,Out of App,Pause,Vertical Scroll View,0,Audible
2024-03-22T14:40:20Z,US,,,,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-19T05:43:53Z,US,,Kindle for iOS,B008UCJ7KO,Inbook Mini Player,Open Speed Control,Vertical Scroll View,0,Audible
