created_timestamp,preferred_marketplace,country_code,device_family,ASIN,action,Entry Point
2025-08-23T22:05:34Z,www.amazon.com,Not Available,Kindle for iOS,B07DMZ5YR9,Before You Go Annotations Shown,BeforeYouGo
2025-06-24T22:54:18Z,www.amazon.com,Not Available,Kindle for iOS,B0DFGDFM4V,NotebookOpened,FullWindowNotebook
2025-04-30T01:11:59Z,www.amazon.com,Not Available,Kindle for iOS,B00DE5EBZ8,NotebookOpened,FullWindowNotebook
2024-12-11T16:51:49Z,www.amazon.com,Not Available,Kindle for iOS,B0C44DX85D,NotebookOpened,FullWindowNotebook
2024-12-29T17:51:49Z,www.amazon.com,Not Available,Kindle for iOS,B00TU3BTUI,NotebookOpened,FullWindowNotebook
2025-09-20T19:16:20Z,www.amazon.com,Not Available,Kindle for iOS,B0DXVVG8LM,Before You Go Annotations Shown,BeforeYouGo
2025-03-17T23:01:00Z,www.amazon.com,Not Available,Kindle for iOS,B0CDJPKT7K,Before You Go Annotations Shown,BeforeYouGo
2025-04-16T00:30:57Z,www.amazon.com,Not Available,Kindle for iOS,B0CW1J839S,Before You Go Annotations Shown,BeforeYouGo
2025-06-24T22:56:32Z,www.amazon.com,Not Available,Kindle for iOS,B0DFGDFM4V,NotebookClosed,FullWindowNotebook
2025-04-30T01:12:00Z,www.amazon.com,Not Available,Kindle for iOS,B00DE5EBZ8,NotebookClosed,FullWindowNotebook
2025-03-23T22:43:22Z,www.amazon.com,Not Available,Kindle for iOS,B08HJDG47W,NotebookOpened,FullWindowNotebook
2025-07-06T13:41:41Z,www.amazon.com,Not Available,Kindle for iOS,B0CS17PXNR,Before You Go Annotations Shown,BeforeYouGo
2025-04-13T23:27:08Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,Before You Go Annotations Shown,BeforeYouGo
2025-05-30T02:53:47Z,www.amazon.com,Not Available,Kindle for iOS,B0F1Y9XH1B,NotebookOpened,FullWindowNotebook
2025-03-23T22:42:59Z,www.amazon.com,Not Available,Kindle for iOS,B08HJDG47W,NotebookOpened,FullWindowNotebook
2025-05-30T19:18:48Z,www.amazon.com,Not Available,Kindle for iOS,B0F1Y9XH1B,NotebookClosed,FullWindowNotebook
2025-08-16T04:50:20Z,www.amazon.com,Not Available,Kindle for iOS,B0D7F96JNZ,Before You Go Annotations Shown,BeforeYouGo
2025-01-21T06:31:30Z,www.amazon.com,Not Available,Kindle for iOS,B0CKBX1G7X,Before You Go Annotations Shown,BeforeYouGo
2025-04-23T03:07:05Z,www.amazon.com,Not Available,Kindle for iOS,B0CR1N7YGX,GoToBookmark,FullWindowNotebook
2024-12-17T17:22:28Z,www.amazon.com,Not Available,Kindle for iOS,B0C451CF7Z,Before You Go Annotations Shown,BeforeYouGo
2025-03-23T22:43:05Z,www.amazon.com,Not Available,Kindle for iOS,B08HJDG47W,NotebookClosed,FullWindowNotebook
2024-12-11T22:43:26Z,www.amazon.com,Not Available,Kindle for iOS,B0C44DX85D,NotebookClosed,FullWindowNotebook
2024-12-18T15:57:28Z,www.amazon.com,Not Available,Kindle for iOS,B0CFD5NCP9,Before You Go Annotations Shown,BeforeYouGo
2025-01-08T19:14:21Z,www.amazon.com,Not Available,Kindle for iOS,B079JYG6D4,Before You Go Annotations Swiped,BeforeYouGo
2025-01-15T21:39:45Z,www.amazon.com,Not Available,Kindle for iOS,B0CKH896T8,Before You Go Annotations Shown,BeforeYouGo
2025-07-13T06:42:57Z,www.amazon.com,Not Available,Kindle for iOS,B0C9MXW2JL,GoToBookmark,FullWindowNotebook
2024-12-13T15:33:05Z,www.amazon.com,Not Available,Kindle for iOS,B0C44CFZPD,NotebookClosed,FullWindowNotebook
2025-04-21T17:26:15Z,www.amazon.com,Not Available,Kindle for iOS,B0D9CC3C9Y,Before You Go Annotations Shown,BeforeYouGo
2025-01-26T02:10:19Z,www.amazon.com,Not Available,Kindle for iOS,B0CW1FKFB9,NotebookClosed,FullWindowNotebook
2024-11-23T14:43:51Z,www.amazon.com,Not Available,Kindle for iOS,B01LOWN78Y,Before You Go Annotations Shown,BeforeYouGo
2025-03-10T02:13:42Z,www.amazon.com,Not Available,Kindle for iOS,B0CJDMBYCT,GoToBookmark,FullWindowNotebook
2025-04-22T23:55:00Z,www.amazon.com,Not Available,Kindle for iOS,B0CR1N7YGX,NotebookOpened,FullWindowNotebook
2025-08-23T22:05:41Z,www.amazon.com,Not Available,Kindle for iOS,B07DMZ5YR9,Before You Go Annotations Shown,BeforeYouGo
2025-05-30T20:11:23Z,www.amazon.com,Not Available,Kindle for iOS,B0F1Y9XH1B,GoToBookmark,FullWindowNotebook
2025-01-26T02:10:16Z,www.amazon.com,Not Available,Kindle for iOS,B0CW1FKFB9,NotebookOpened,FullWindowNotebook
2025-01-08T19:14:07Z,www.amazon.com,Not Available,Kindle for iOS,B079JYG6D4,Before You Go Annotations Shown,BeforeYouGo
2024-12-08T03:26:49Z,www.amazon.com,Not Available,Kindle for iOS,B07G4H3665,Before You Go Annotations Shown,BeforeYouGo
2024-12-11T16:51:51Z,www.amazon.com,Not Available,Kindle for iOS,B0C44DX85D,NotebookClosed,FullWindowNotebook
2024-12-25T00:42:30Z,www.amazon.com,Not Available,Kindle for iOS,B00CU7YHQY,Before You Go Annotations Shown,BeforeYouGo
2025-01-02T01:56:38Z,www.amazon.com,Not Available,Kindle for iOS,B01ANM7GJC,NotebookOpened,FullWindowNotebook
