created_timestamp,preferred_marketplace,country,device_family,ASIN,Selection highlight menu action,selection,audio_enabled
2025-10-05T23:45:33Z,www.amazon.com,US,Kindle for Android,B0DCG89SDJ,Remove highlight,31,false
2025-09-15T16:57:50Z,www.amazon.com,,Kindle for iOS,B0CWPBWTCY,Dismiss,36,false
2025-07-16T00:22:35Z,www.amazon.com,,Kindle for iOS,B0CPKCH1V8,Remove highlight,7,false
2025-07-17T00:32:07Z,www.amazon.com,,Kindle for iOS,B0B9TBGC5X,Dismiss,1,false
2025-08-27T02:07:52Z,www.amazon.com,,Kindle for iOS,B003VPWY64,Dismiss,1,false
2025-07-21T13:56:26Z,www.amazon.com,,Kindle for iOS,B0CJDPTB3V,Remove highlight,16,false
2025-09-10T01:53:36Z,www.amazon.com,,Kindle for iOS,B0C6NNZSVQ,Remove highlight,27,false
2025-08-08T18:52:03Z,www.amazon.com,,Kindle for iOS,B0D9CC3C9Y,Open selection highlight menu,15,false
2025-09-20T16:25:11Z,www.amazon.com,,Kindle for iOS,B0DXVVG8LM,Dismiss,1,false
2025-07-16T15:37:31Z,www.amazon.com,,Kindle for iOS,B0B9TBGC5X,Dismiss,19,false
2025-08-21T02:26:08Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9,Open selection highlight menu,1,false
2025-09-16T01:14:43Z,www.amazon.com,,Kindle for iOS,B0CWPBWTCY,Dismiss,24,false
2025-09-02T02:31:39Z,www.amazon.com,,Kindle for iOS,B0C6NBLBL2,Dismiss,1,false
2025-09-23T20:51:43Z,www.amazon.com,,Kindle for iOS,B0DSRPZ7NY,Dismiss,21,false
2025-09-02T04:19:33Z,www.amazon.com,,Kindle for iOS,B0C6NBLBL2,Open selection highlight menu,1,false
2025-09-24T13:06:53Z,www.amazon.com,,Kindle for iOS,B0DSRPZ7NY,Open selection highlight menu,26,false
2025-09-20T18:19:01Z,www.amazon.com,,Kindle for iOS,B0DXVVG8LM,Remove highlight,32,false
2025-08-31T03:55:35Z,www.amazon.com,,Kindle for iOS,B0DB2L4TWY,Dismiss,17,false
2025-08-26T17:02:56Z,www.amazon.com,,Kindle for iOS,B003IYI6TC,Dismiss,1,false
