created_timestamp,ASIN,customer_context,action,highlight_color,is_starred,show_options_after_highlighting,number_of_words_in_highlight,device_family,country,preferred_marketplace
2024-02-27T12:26:05Z,B0BDW9C3JY,QuickHighlight,AddHighlight,Not Available,No,Off,9,Kindle for iOS,Not Available,US
2024-03-15T23:52:46Z,B07XQK3SGQ,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-22T23:56:11Z,B0CHWQPB49,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-12T04:34:39Z,B09P5GT746,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-06T04:10:38Z,B07C7N5CBS,QuickHighlight,AddHighlight,Not Available,No,Off,9,Kindle for iOS,Not Available,US
2024-02-24T04:08:38Z,B0CB1RMZRC,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,8,Kindle for iOS,Not Available,US
2024-02-26T08:42:00Z,B09X6KD3CS,QuickHighlight,AddHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-20T04:57:42Z,B00NEQRNVG,QuickHighlight,AddHighlight,Not Available,No,Off,11,Kindle for iOS,Not Available,US
2024-03-05T05:14:56Z,B07QNKVR3N,QuickHighlight,AddHighlight,Not Available,No,Off,4,Kindle for iOS,Not Available,US
2024-03-03T05:43:54Z,B09QY2KWKY,QuickHighlight,AddHighlight,Not Available,No,Off,8,Kindle for iOS,Not Available,US
2024-02-27T05:39:54Z,B09X6KD3CS,QuickHighlight,AddHighlight,Not Available,No,Off,9,Kindle for iOS,Not Available,US
2024-02-24T21:53:59Z,B09S1CMMBT,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-15T20:10:02Z,B07XQK3SGQ,QuickHighlight,AddHighlight,Not Available,No,Off,18,Kindle for iOS,Not Available,US
2024-03-16T04:15:08Z,B017S3J3X6,QuickHighlight,AddHighlight,Not Available,No,Off,10,Kindle for iOS,Not Available,US
