created_timestamp,preferred_marketplace,country,device_family,ASIN,widget_action,widget_name
2024-03-08T18:58:36Z,US,Not Available,,B07B9WH8KT,Open,ttl
2024-03-22T11:52:26Z,US,Not Available,Kindle for iOS,B0B1KVSRCL,Click.Shelf.Read,grsh
2024-03-08T09:21:56Z,US,Not Available,Kindle for iOS,B083TZV25B,Tap on a widget,rtrv
2024-03-16T14:40:44Z,US,Not Available,Kindle for iOS,B01BU2NFTO,Open,Next in Series
2024-04-05T13:45:51Z,US,Not Available,Kindle for iOS,B008WOTQGU,Open,Mentioned in this Book
2024-03-18T21:29:02Z,US,Not Available,Kindle for iOS,B00846REIS,Open,Sharing
2024-03-14T17:21:25Z,US,Not Available,Kindle for iOS,B0C7QYS91W,Open,rtrv
2024-03-27T11:10:00Z,US,Not Available,Kindle for iOS,B08X472VK3,Open,Follow the Author
2024-03-14T20:50:23Z,US,Not Available,Kindle for iOS,B0C7QYS91W,Open,rtrv
2024-04-04T21:49:49Z,US,Not Available,Kindle for iOS,B008WOTQGU,Open,Other widget
2024-02-26T08:33:01Z,US,Not Available,Kindle for iOS,B09HLCTYZ8,Open,Next in Series
2024-03-16T14:40:44Z,US,Not Available,Kindle for iOS,B01BU2NFTO,Open,Customers Who Bought This Also Bought
2024-03-17T03:54:40Z,US,Not Available,Kindle for iOS,B017S3J3X6,Open,Follow the Author
2024-03-08T09:21:46Z,US,Not Available,Kindle for iOS,B083TZV25B,Click.Rate.GR,rtrv
2024-04-04T21:49:49Z,US,Not Available,Kindle for iOS,B008WOTQGU,Open,Time To Read
2024-03-12T06:05:21Z,US,Not Available,Kindle for iOS,B09P5GT746,Open,rtrv
2024-03-11T06:00:17Z,US,Not Available,Kindle for iOS,B07B9WH8KT,Click.Shelf,grsh
2024-03-14T00:08:18Z,US,Not Available,Kindle for iOS,B08266SRVP,Collapse,BSE_EA
2024-03-16T08:52:05Z,US,Not Available,Kindle for iOS,B017S3J3X6,Click.Shelf.Read,grsh
2024-03-18T03:02:40Z,US,Not Available,Kindle for iOS,B0CLT4QRQL,Tap on a widget,grsh
2024-03-22T11:52:25Z,US,Not Available,Kindle for iOS,B0B1KVSRCL,Tap on a widget,grsh
2024-03-04T03:38:11Z,US,Not Available,Kindle for iOS,B01MYYEYWP,Open,grsh
2024-03-03T07:25:53Z,US,Not Available,Kindle for iOS,B0BDW83LGQ,Open,rtrv
2024-03-12T06:05:33Z,US,Not Available,Kindle for iOS,B09P5GT746,Collapse,BSE_EA
2024-03-22T11:52:29Z,US,Not Available,Kindle for iOS,B0B1KVSRCL,Click.Cancel.GR.ReviewPage,rtrv
2024-03-29T21:35:17Z,US,Not Available,Kindle for iOS,B06XWR6BC3,Open,ttl
2024-03-03T07:26:10Z,US,Not Available,Kindle for iOS,B0BDW9C3JY,Open,grsh
2024-03-05T01:51:23Z,US,Not Available,Kindle for iOS,B09NJBVM8Z,Collapse,BSE_EA
2024-03-03T07:24:23Z,US,Not Available,Kindle for iOS,B0CB1RMZRC,Open,ttl
2024-03-05T15:02:31Z,US,Not Available,Kindle for iOS,B07QNKVR3N,Open,Follow the Author
2024-02-24T08:49:30Z,US,Not Available,Kindle for iOS,B0CB1RMZRC,Open,vl
2024-03-03T07:26:57Z,US,Not Available,Kindle for iOS,B09QY2KWKY,Tap on a widget,grsh
2024-02-25T23:33:26Z,US,Not Available,Kindle for iOS,B0B232HFC9,Open,Sharing
2024-03-11T12:50:40Z,US,Not Available,Kindle for iOS,B0BJMZ2FQ3,Expand,BSE_SA
2024-03-16T20:54:36Z,US,Not Available,Kindle for iOS,B01M04PNMH,Click.Shelf,grsh
2024-03-23T20:43:02Z,US,Not Available,Kindle for iOS,B00V3MY1IQ,Click.Shelf,grsh
2024-03-29T02:52:25Z,US,Not Available,Kindle for iOS,B0CYWDS6CT,Open,Sharing
2024-04-09T18:40:58Z,US,Not Available,Kindle for iOS,B00O6V45E6,Open,grsh
2024-02-24T18:32:43Z,US,Not Available,Kindle for iOS,B08K62VYDJ,Open,rtrv
2024-04-09T18:40:07Z,US,Not Available,Kindle for iOS,B00H57X864,Open,rtrv
2024-03-25T08:30:13Z,US,Not Available,Kindle for iOS,B00V3MY186,Open,Follow the Author
2024-03-25T08:30:19Z,US,Not Available,Kindle for iOS,B00V3MY186,Click.Shelf,grsh
2024-02-26T00:17:12Z,US,Not Available,Kindle for iOS,B09S1CMMBT,Collapse,BSE_EA
2024-03-25T08:30:13Z,US,Not Available,Kindle for iOS,B00V3MY186,Open,Customers Who Bought This Also Bought
2024-03-30T00:44:16Z,US,Not Available,Kindle for iOS,B07ZFZZ2GQ,Collapse,BSE_SA
2024-03-20T04:18:39Z,US,Not Available,Kindle for iOS,B008UCJ7KO,Click.Shelf,grsh
2024-03-13T13:42:52Z,US,Not Available,Kindle for iOS,B08266PLCC,Open,Next in Series
2024-03-03T07:26:12Z,US,Not Available,Kindle for iOS,B0BDW9C3JY,Click.Shelf,grsh
2024-02-26T07:50:51Z,US,Not Available,Kindle for iOS,B09HLCTYZ8,Open,Next in Series
2024-03-03T07:25:53Z,US,Not Available,Kindle for iOS,B0BDW83LGQ,Open,More by Author
2024-03-28T02:24:35Z,US,Not Available,Kindle for iOS,B0BC16PP4Z,Open Review,rtrv
2024-03-27T22:42:33Z,US,Not Available,Kindle for iOS,B09ZKRWCG4,Click.Shelf.Read,grsh
2024-03-22T01:12:43Z,US,Not Available,Kindle for iOS,B0183KJZE0,Click.Rate.GR,rtrv
2024-03-27T11:14:50Z,US,Not Available,Kindle for iOS,B08X472VK3,Open,Sharing
2024-03-10T01:25:19Z,US,Not Available,Kindle for iOS,B07WJ2X243,Open,rtrv
2024-03-14T20:50:23Z,US,Not Available,Kindle for iOS,B0C7QYS91W,Open,ttl
2024-03-04T03:38:12Z,US,Not Available,Kindle for iOS,B01MYYEYWP,Collapse,BSE_EA
2024-03-16T20:54:34Z,US,Not Available,Kindle for iOS,B01M04PNMH,Open,vl
2024-03-05T14:53:10Z,US,Not Available,Kindle for iOS,B07QNKVR3N,Open,More by Author
2024-03-08T20:06:36Z,US,Not Available,,B01D6TA9Y8,Open,Time To Read
2024-03-25T15:24:02Z,US,Not Available,Kindle for iOS,B00W22ITCU,Open,Follow the Author
2024-02-24T20:30:17Z,US,Not Available,Kindle for iOS,B09CNFRZDC,Open,Time To Read
2024-03-02T05:45:27Z,US,Not Available,Kindle for iOS,B0994RZ2L1,Open,ttl
2024-04-01T19:09:00Z,US,Not Available,Kindle for iOS,B09Z7BYZS3,Open,Customers Who Bought This Also Bought
2024-03-10T01:24:36Z,US,Not Available,Kindle for iOS,B07WJ2X243,Tap on a widget,grsh
2024-03-03T17:24:29Z,US,Not Available,Kindle for iOS,B01MST9RU9,Open,ttl
2024-03-25T08:30:19Z,US,Not Available,Kindle for iOS,B00V3MY186,Tap on a widget,grsh
2024-03-18T03:02:35Z,US,Not Available,Kindle for iOS,B0CLT4QRQL,Open,More by Author
2024-03-11T12:50:41Z,US,Not Available,Kindle for iOS,B0BJMZ2FQ3,Collapse,BSE_SA
2024-02-24T14:32:32Z,US,Not Available,Kindle for iOS,B08K62VYDJ,Open,ttl
2024-03-03T07:26:10Z,US,Not Available,Kindle for iOS,B0BDW9C3JY,Open,Follow the Author
2024-03-28T22:40:46Z,US,Not Available,Kindle for iOS,B0CYWDS6CT,Click.Rate.GR,rtrv
2024-03-14T00:49:40Z,US,Not Available,Kindle for iOS,B0C7QYS91W,Open,More by Author
2024-03-05T01:51:17Z,US,Not Available,Kindle for iOS,B09NJBVM8Z,Open,Follow the Author
2024-03-22T02:39:11Z,US,Not Available,Kindle for iOS,B0183KJZE0,Open,Follow the Author
2024-03-22T01:12:41Z,US,Not Available,Kindle for iOS,B0183KJZE0,Open,grsh
2024-03-03T06:59:48Z,US,Not Available,Kindle for iOS,B09QY2KWKY,Open,ttl
2024-03-22T01:12:41Z,US,Not Available,Kindle for iOS,B0183KJZE0,Open,Follow the Author
2024-04-04T13:48:06Z,US,Not Available,Kindle for iOS,B0BJJTTM8K,Open,Follow the Author
2024-03-16T08:52:01Z,US,Not Available,Kindle for iOS,B017S3J3X6,Open,grsh
2024-02-24T20:52:54Z,US,Not Available,Kindle for iOS,B09S1CMMBT,Open,si
2024-02-27T23:08:57Z,US,Not Available,Kindle for iOS,B09S1CMMBT,Render.TrySample,More by Author
2024-03-22T11:52:19Z,US,Not Available,Kindle for iOS,B0B1KVSRCL,Open,Follow the Author
2024-03-16T20:51:42Z,US,Not Available,Kindle for iOS,B01M04PNMH,Open,Customers Who Bought This Also Bought
2024-03-16T14:40:44Z,US,Not Available,Kindle for iOS,B01BU2NFTO,Open,Sharing
2024-03-04T06:19:25Z,US,Not Available,Kindle for iOS,B01MTZDCUN,Collapse,BSE_EA
2024-03-03T06:59:48Z,US,Not Available,Kindle for iOS,B09QY2KWKY,Open,ntb
2024-04-04T21:48:16Z,US,Not Available,Kindle for iOS,B008WOTQGU,Open,Goodreads Autoshelving Widget
2024-03-03T07:26:42Z,US,Not Available,Kindle for iOS,B08Y6DCS1Y,Open,Follow the Author
2024-03-27T11:10:08Z,US,Not Available,Kindle for iOS,B08X472VK3,Click.Shelf.Read,grsh
2024-03-04T03:38:11Z,US,Not Available,Kindle for iOS,B01MYYEYWP,Open,rtrv
2024-03-29T21:35:17Z,US,Not Available,Kindle for iOS,B06XWR6BC3,Open,Other widget
2024-03-24T01:27:16Z,US,Not Available,Kindle for iOS,B00V3MY1GS,Open,grsh
2024-03-27T01:56:23Z,US,Not Available,Kindle for iOS,B0BNJMJ4K9,Expand,BSE_SA
2024-03-05T15:04:26Z,US,Not Available,Kindle for iOS,B01N7GREG9,Open,rtrv
2024-03-16T01:24:30Z,US,Not Available,Kindle for iOS,B07XQK3SGQ,Open,Follow the Author
2024-03-22T11:52:19Z,US,Not Available,Kindle for iOS,B0B1KVSRCL,Open,grsh
2024-02-28T19:53:48Z,US,Not Available,Kindle for iOS,B0BDW83LGQ,Open,grsh
2024-02-24T18:32:32Z,US,Not Available,Kindle for iOS,B08K62VYDJ,Open,vl
