created_timestamp,preferred_marketplace,country,device_family,ASIN,Actions,Kindle Special Offers Status
2024-04-07T20:25:16Z,US,US,Kindle E-reader,B00N6PD7L0,exiting lock screen,Kindle Special Offers not enabled
2024-04-09T00:04:33Z,US,US,Kindle E-reader,B00QE1DLIC,exiting lock screen,Kindle Special Offers not enabled
2024-03-30T01:33:54Z,US,US,Kindle E-reader,B07ZFZZ2GQ,transition to screen saver,Kindle Special Offers not enabled
2024-03-31T03:58:39Z,US,US,Kindle E-reader,B07ZFZZ2GQ,transition to screen saver,Kindle Special Offers not enabled
2024-04-08T23:39:23Z,US,US,Kindle E-reader,B00QE1DLIC,exiting lock screen,Kindle Special Offers not enabled
2024-03-31T03:21:52Z,US,US,Kindle E-reader,B07ZFZZ2GQ,exiting lock screen,Kindle Special Offers not enabled
2024-04-08T18:00:51Z,US,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-03-30T05:39:14Z,US,US,Kindle E-reader,B07ZFZZ2GQ,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-09T02:16:41Z,US,US,Kindle E-reader,B00QE1DLIC,exiting lock screen,Kindle Special Offers not enabled
2024-04-08T10:54:08Z,US,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T22:50:11Z,US,US,Kindle E-reader,B00O6V45CS,transition to screen saver,Kindle Special Offers not enabled
2024-03-31T15:13:18Z,US,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-02T09:48:11Z,US,US,Kindle E-reader,B0BHLBHG79,exiting lock screen,Kindle Special Offers not enabled
2024-04-09T01:14:57Z,US,US,Kindle E-reader,B00QE1DLIC,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-11T02:43:03Z,US,US,Kindle E-reader,B01L7Q54NI,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-02T04:26:01Z,US,US,Kindle E-reader,B0BHLBHG79,transition to screen saver,Kindle Special Offers not enabled
2024-04-15T20:07:26Z,US,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-03-31T00:23:52Z,US,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-07T19:54:27Z,US,US,Kindle E-reader,B00N6PD7L0,transition to screen saver,Kindle Special Offers not enabled
2024-04-05T09:34:52Z,US,US,Kindle E-reader,B008WOTQGU,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-03-31T01:03:23Z,US,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-06T00:51:37Z,US,US,Kindle E-reader,B008WOTQGU,exiting lock screen,Kindle Special Offers not enabled
2024-04-04T06:16:05Z,US,US,Kindle E-reader,B0BJJTTM8K,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T18:03:07Z,US,US,Kindle E-reader,B00O6V45CS,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-15T00:54:50Z,US,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-03-30T21:34:14Z,US,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
