asin_date_and_content_type,product_name
B0BDSC5C7P_2024-10-17_AUTOMATIC,God of Wrath: A Dark Enemies to Lovers Romance (Legacy of Gods Book 3)
B0BDW83LGQ_2024-02-28_AUTOMATIC,Untying the Knot
B0BDW9C3JY_2024-02-27_AUTOMATIC,A Long Time Coming
B0BDZ2M91F_2024-10-07_AUTOMATIC,The Sinner: A Dark College Romance
B0BF16RV53_2025-02-14_AUTOMATIC,The True Love Experiment
B0BF16RV53_2025-02-14_MANUAL,The True Love Experiment
B0BFW44657_2024-09-04_AUTOMATIC,"In a Jam (Friendship, RI Book 1)"
B0BG8HC2NG_2024-09-30_AUTOMATIC,The Deal Dilemma
B0BGDM197Q_2025-01-23_AUTOMATIC,Fourth Wing (The Empyrean Book 1)
B0BGDM197Q_2025-01-23_MANUAL,Fourth Wing (The Empyrean Book 1)
B0BGMZ9ZL2_2025-07-02_MANUAL,The Seven Year Slip
B0BHD7D1HL_2024-12-09_AUTOMATIC,The Choice : Star-Crossed Lovers Duet (Book 1)
B0BHL1JX9P_2024-08-10_AUTOMATIC,Black Ties and White Lies: A Billionaire Fake Engagement Romance (Black Tie Billionaires)
B0BHLBHG79_2024-04-02_AUTOMATIC,Cruel Seduction (Dark Olympus Book 5)
B0BHN8JB7C_2025-07-18_MANUAL,The Temporary Wife: Luca and Valentina's Story (The Windsors)
B0BHV6ZHT1_2025-02-09_AUTOMATIC,Powerless: A Small Town Friends to Lovers Romance
B0BHV6ZHT1_2025-02-09_MANUAL,Powerless: A Small Town Friends to Lovers Romance
B0BJ7X6M16_2024-05-17_AUTOMATIC,King of Pride (Kings of Sin Book 2)
B0BJJTTM8K_2024-04-04_AUTOMATIC,"Love, Theoretically"
B0BKTCYCJ1_2024-10-29_AUTOMATIC,Too Sweet: Hayes Brothers Book 3
B0BKTXQPXR_2024-12-04_AUTOMATIC,HAWKE
B0BL1L6XPD_2024-08-12_AUTOMATIC,Icebreaker: A Novel (Maple Hills)
B0BLHPJ58D_2024-08-03_AUTOMATIC,This Life and All the Rest (Next Life Book 2)
