created_timestamp,preferred_marketplace,country,device_family,ASIN,Lookup Card Display Reason,Lookup Card Type,Lookup Card Action Taken,card_position,Lookup Card Lookup Result,Dictionary ASIN,Source Language,Destination Language
2025-09-26T16:00:20Z,www.amazon.com,,Kindle for iOS,B08LDYBGJD,Selection,CABMenu,CABaction,16,No Lookup Performed For This Action,Not a Dictionary Lookup Card Action,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-09-04T14:09:07Z,www.amazon.com,,Kindle for iOS,B0C6NMBN7H,Selection,Dictionary Info Card,Lookup Card First Time Viewed,1,No Lookup Performed For This Action,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-08-29T14:08:47Z,www.amazon.com,,Kindle for iOS,B0C3C7G6HN,Selection,Dictionary Info Card,Lookup Card First Time Viewed,1,No Lookup Performed For This Action,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-09-19T12:56:08Z,www.amazon.com,,Kindle for iOS,B0DXVVG8LM,Selection,CABMenu,CABaction,16,No Lookup Performed For This Action,Not a Dictionary Lookup Card Action,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-09-02T04:19:33Z,www.amazon.com,,Kindle for iOS,B0C6NBLBL2,Selection,Dictionary Info Card,Lookup Card First Time Viewed,1,No Lookup Performed For This Action,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-09-19T22:48:46Z,www.amazon.com,,Kindle for iOS,B0DXVVG8LM,Selection,Dictionary Info Card,Lookup Card First Time Viewed,1,No Lookup Performed For This Action,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-09-23T13:32:55Z,www.amazon.com,,Kindle for iOS,B0DSRPZ7NY,Selection,Dictionary Info Card,Lookup Card First Time Viewed,1,No Lookup Performed For This Action,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-09-09T20:29:57Z,www.amazon.com,,Kindle for iOS,B0C6NNZSVQ,Selection,CABMenu,CABaction,16,No Lookup Performed For This Action,Not a Dictionary Lookup Card Action,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-09-29T12:36:53Z,www.amazon.com,,Kindle for iOS,B09QD52KWF,Selection,CABMenu,CABaction,16,No Lookup Performed For This Action,Not a Dictionary Lookup Card Action,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-09-16T03:57:56Z,www.amazon.com,,Kindle for iOS,B0CWPBWTCY,Selection,CABMenu,CABaction,16,No Lookup Performed For This Action,Not a Dictionary Lookup Card Action,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-09-19T00:42:14Z,www.amazon.com,,Kindle for iOS,B0DXVVG8LM,Selection,CABMenu,CABaction,16,No Lookup Performed For This Action,Not a Dictionary Lookup Card Action,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-09-20T01:33:29Z,www.amazon.com,,Kindle for iOS,B0DXVVG8LM,Selection,Dictionary Info Card,Lookup Card First Time Viewed,1,No Lookup Performed For This Action,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
