created_timestamp,preferred_marketplace,country,device_family,ASIN,Lookup Card Display Reason,Lookup Card Type,Lookup Card Action Taken,card_position,Lookup Card Lookup Result,Dictionary ASIN,Source Language,Destination Language
2024-03-09T03:36:27Z,US,,Kindle for iOS,B01D6TA9Y8,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-04T21:04:50Z,US,,Kindle for iOS,B09NJBVM8Z,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-02-25T05:00:01Z,US,,Kindle for iOS,B09S1CMMBT,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-20T04:52:50Z,US,,Kindle for iOS,B00NEQRNVG,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Successful Lookup,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-13T22:45:59Z,US,,Kindle for iOS,B08266SRVP,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-16T18:50:54Z,US,,Kindle for iOS,B01M04PNMH,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Successful Lookup,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-19T04:44:01Z,US,,Kindle for iOS,B008673ZAQ,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Successful Lookup,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-02-24T15:34:22Z,US,,Kindle for iOS,B08K62VYDJ,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-07T03:00:10Z,US,,Kindle for iOS,B01KB8XC5A,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-17T20:33:06Z,US,,Kindle for iOS,B0CLT4QRQL,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Successful Lookup,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
