"Product Name","ASIN","Genre"
"Only Santas in the Building (Under the Mistletoe collection)","B0DFCV9VB4","Romance"
"Only Santas in the Building (Under the Mistletoe collection)","B0DFCV9VB4","Literature & Fiction"
"Season's Schemings: A Holiday Hockey Rom Com (Cyclones Christmas Book 1)","B0CN25HCG7","Romance"
"Holiday Hostilities : A Festive Hockey Rom Com (Cyclones Christmas Book 2)","B0DJM93XSS","Romance"
"A Worthy Opponent (Wicked Villains Book 3)","B07X8Z1QSQ","Romance"
"A Worthy Opponent (Wicked Villains Book 3)","B07X8Z1QSQ","Literature & Fiction"
"Learn My Lesson (Wicked Villains Book 2)","B07VZDCG1G","Romance"
"Learn My Lesson (Wicked Villains Book 2)","B07VZDCG1G","Literature & Fiction"
"Desperate Measures (Deluxe Edition) (Wicked Villains, 1)","1464227993","Romance"
"Desperate Measures (Deluxe Edition) (Wicked Villains, 1)","1464227993","Literature & Fiction"
"Queen of Shadows","B012BQ4GQE","Science Fiction & Fantasy"
"Queen of Shadows","B012BQ4GQE","Teen & Young Adult"
"Queen of Shadows","B012BQ4GQE","Romance"
"The Naughty, the Nice and the Nanny: Holiday Brothers, Book 1","B09WJCKRSH","Romance"
"The Naughty, the Nice and the Nanny: Holiday Brothers, Book 1","B09WJCKRSH","Literature & Fiction"
"How to Lose a Guy Before Christmas","B0CMYRQZ4L","Romance"
"Not Another Christmas Rom Com","B0DKKMQ1VC","Romance"
"Taming 7 (Boys of Tommen Book 5)","B0CFD5NCP9","Romance"
"Puck Me Secretly (A Vancouver Wolves Hockey Romance Book 1)","B07JH7ZKVX","Romance"
"Puck Me Secretly (A Vancouver Wolves Hockey Romance Book 1)","B07JH7ZKVX","Literature & Fiction"
"Forget Your Morals: A Forbidden Secret Romance (The Carlson Brothers)","B0C6JG3XJB","Romance"
"Forget Your Morals: A Forbidden Secret Romance (The Carlson Brothers)","B0C6JG3XJB","Literature & Fiction"
"Binding 13 (Boys of Tommen Book 1)","B0C44DX85D","Romance"
"Binding 13 (Boys of Tommen Book 1)","B0C44DX85D","Literature & Fiction"
"Keeping 13 (Boys of Tommen Book 2)","B0C44CFZPD","Romance"
"The Deal","B00TG1CZFC","Romance"
"The Mistake (Off-Campus Book 2)","B00WASWK7Q","Romance"
"The Score (Off-Campus Book 3)","B016VQCFO0","Romance"
"The Goal (Off-Campus Book 4)","B01FTC8I84","Romance"
"The Legacy (Off-Campus Book 5)","B0918YYH5S","Romance"
"The Chase: A Grumpy Sunshine College Hockey Romance (Briar U Book 1)","B07G6M9HDV","Romance"
"The Chase: A Grumpy Sunshine College Hockey Romance (Briar U Book 1)","B07G6M9HDV","Literature & Fiction"
"The Words: An Enemies-to-Lovers Standalone Romance","B091N9KW8N","Romance"
"The Words: An Enemies-to-Lovers Standalone Romance","B091N9KW8N","Literature & Fiction"
"The Risk (Briar U Book 2)","B07G4H3665","Romance"
"The Risk (Briar U Book 2)","B07G4H3665","Literature & Fiction"
"The Choice : Star-Crossed Lovers Duet (Book 1)","B0BHD7D1HL","Romance"
"The Words","B09ZVJMLS1","Romance"
"The Words","B09ZVJMLS1","Literature & Fiction"
"The Chase","B07P91NJHB","Romance"
"The Chase","B07P91NJHB","Literature & Fiction"
"Burn for You: Slow Burn, Book 1","B075VBLPVP","Romance"
"Burn for You: Slow Burn, Book 1","B075VBLPVP","Literature & Fiction"
"Burn for You (Slow Burn Book 1)","B06XWR6BC3","Romance"
