device_record_time,Device Serial Number,country_of_residence,app_package_name,app_version_name,app_version_code,device_type,device_profile_type,app_profile_type,launch_count,duration_milliseconds,software_version,metric_level,product_mode,reason_code,metric_source,start_time,Amazon Marketplace
2024-04-20T22:27:36Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,12686,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-20T22:27:23Z,Amazon.com
2024-04-20T22:27:23Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Ereader,Not Available,Not Available,1,110750,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-20T22:25:32Z,Amazon.com
2024-04-20T22:27:20Z,G8S1LG134041039L,United States,com.lab126.KPP_LIBRARY,UNKNOWN,0,Ereader,Not Available,Not Available,1,108216,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-20T22:25:32Z,Amazon.com
2024-04-20T22:25:33Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,3867,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-20T22:25:29Z,Amazon.com
2024-04-20T22:25:29Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Ereader,Not Available,Not Available,1,395877,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-20T22:18:53Z,Amazon.com
2024-04-20T22:25:28Z,G8S1LG134041039L,United States,com.lab126.KPP_LIBRARY,UNKNOWN,0,Ereader,Not Available,Not Available,1,380381,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-20T22:19:07Z,Amazon.com
2024-04-20T22:19:07Z,G8S1LG134041039L,United States,com.lab126.KPP_HOME,UNKNOWN,0,Ereader,Not Available,Not Available,1,14789,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-20T22:18:52Z,Amazon.com
2024-04-20T22:18:54Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,84796,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-20T22:17:29Z,Amazon.com
2024-04-20T22:05:31Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,86908,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-20T22:04:04Z,Amazon.com
2024-04-20T22:02:09Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,368087,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-20T21:56:00Z,Amazon.com
