Creation Date,ASIN,Product Name,Browse Node,StoreUrl,Device Platform,Display Status
2025-05-31T17:28:17Z,B07B4V3Y51,Merciless (English Edition),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-05-31T17:28:17Z,B07B4V3Y51,Merciless (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-05-31T17:28:17Z,B07B4V3Y51,Merciless (English Edition),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-05-31T17:28:17Z,B07B4V3Y51,Merciless (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-05-31T17:28:17Z,B07B4V3Y51,Merciless,"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-05-31T17:28:17Z,B07B4V3Y51,Merciless,"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-05-31T17:28:17Z,B07B4V3Y51,Merciless (English Edition),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-05-31T17:28:17Z,B07B4V3Y51,Merciless (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-05-31T17:28:17Z,B07B4V3Y51,Merciless (English Edition),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-05-31T17:28:17Z,B07B4V3Y51,Merciless (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-05-31T17:28:17Z,B07B4V3Y51,Merciless,"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-05-31T17:28:17Z,B07B4V3Y51,Merciless,"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-05-31T17:28:17Z,B07B4V3Y51,Merciless,"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-05-31T17:28:17Z,B07B4V3Y51,Merciless,"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-05-31T10:52:06Z,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/73d52df5-97ac-4350-899a-250433aabdb0?ref=kc-sp-pm-cp,"""IOS""","""Kindle App Notification Sent"""
2025-05-31T10:51:58Z,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/64fdd16e-52e7-431d-b5b0-1cad3d11ea09?ref=kc-sp-pw-cp,"""IOS""","""Kindle App Notification Sent"""
2025-05-30T18:43:25Z,B07NF2BDFZ,The Play (Briar U Book 3) (English Edition),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-05-30T18:43:25Z,B07NF2BDFZ,The Play (Briar U Book 3),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-05-30T18:43:25Z,B07NF2BDFZ,The Play (Briar U Book 3),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-05-30T18:43:25Z,B07NF2BDFZ,The Play (Briar U Book 3) (English Edition),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
