created_timestamp,preferred_marketplace,country,device_family,ASIN,action_performed,alert_type,desired_page_location
2024-08-08T12:51:46Z,www.amazon.com,Not Available,Kindle for iOS,B089G7T55M,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-02-21T20:52:02Z,www.amazon.com,Not Available,,B0CKMFZN5Z,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-07-09T12:38:33Z,www.amazon.com,Not Available,Kindle for iOS,B09F6SYVBR,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2025-02-18T18:56:09Z,www.amazon.com,Not Available,,B0CNSGXRN9,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-02-25T15:20:05Z,www.amazon.com,Not Available,,B0CXR6ZHLS,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-03-05T20:51:45Z,www.amazon.com,Not Available,Kindle for iOS,B0DD1VWZ4Z,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-08-07T23:12:35Z,www.amazon.com,Not Available,Kindle for iOS,B087WWR8YT,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-04-26T20:54:42Z,www.amazon.com,Not Available,Kindle for iOS,B017O4W3V8,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-10-08T02:51:11Z,www.amazon.com,Not Available,Kindle for iOS,B0DCG89SDJ,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2025-02-11T22:24:41Z,www.amazon.com,Not Available,Kindle for iOS,B0C7B3DFJZ,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-07-11T06:23:58Z,www.amazon.com,Not Available,Kindle for iOS,B09GL14D21,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-05-14T20:18:58Z,www.amazon.com,Not Available,,B0188332MI,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-05-14T20:42:11Z,www.amazon.com,Not Available,Kindle for iOS,B0188332MI,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-07-10T04:04:40Z,www.amazon.com,Not Available,Kindle for iOS,B09D8Q2D9L,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-04-22T16:09:05Z,www.amazon.com,Not Available,Kindle for iOS,B083GY7J9P,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-03-24T21:21:21Z,www.amazon.com,Not Available,Kindle for iOS,B08XK8L1J7,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
