Created Time,Preferred Marketplace,Country,Device Family,ASIN,Search Query,Search ID,Spell Corrected Keyword,Search Suggestions,Search Keyword Before Suggestion,Search Suggestion Selected Position,Refinements,Search Session ID,Is Device Offline,Search Entry Location,Personal Information Type Detected,Refinements Before Search
2024-03-28T02:33:36Z,US,Not Available,Kindle for iOS,Not Available,katee roberts,BA644FE7-B9D3-467C-9BF5-9C3356CE305B,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,"store, library|PrimeReading|",749EEFAE-74E9-4436-A2D5-A7FF7C2243EC,No,Home,No Data,||SortByRelevance
2024-03-07T04:48:57Z,US,Not Available,Kindle for iOS,Not Available,penelope douglas,E959EE7B-6AAB-43E6-ABC9-329AB2C96344,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,F5DBAAEB-0A21-44BA-8D1E-271A93EAC323,No,Home,No Data,"store, library||SortByRelevance"
2024-03-03T07:00:04Z,US,Not Available,Kindle for iOS,Not Available,,13E34A33-1AEC-4C39-9FC9-FD46603E488B,Not Applicable,happily ever after|happily ever maybe|happily ever after playlist|happily ever witch|happily ever aftered pippa grant|happily ever alpha,happily every,3,||,B24C0BEF-B278-471C-9973-E2E4D6F0398C,No,Home,No Data,"store, library||SortByRelevance"
2024-02-24T20:29:30Z,US,Not Available,Kindle for iOS,Not Available,christina lauren,9C45D2D1-89D2-4464-BD02-2326802AF2CF,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,"store, library|KindleUnlimited|",0B113558-568D-46B5-B87C-54853D8F4D2C,No,Home,No Data,||SortByRelevance
2024-03-22T03:18:37Z,US,Not Available,Kindle for iOS,Not Available,audible plus duet,480D0CE7-29C3-4DB4-8E10-0D997459AD86,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,7473F4A7-E23B-4279-BEC4-EBF4EEF50158,No,Home,No Data,"store, library||SortByRelevance"
2024-02-27T22:56:14Z,US,Not Available,Kindle for iOS,Not Available,wife penople sky,C8EBB3A7-9E03-4E08-9425-19F1CBC0E9E9,wife people sky,wife|wife penople sky|wifedom|wifey|wifey judy blume|wife affair,wife,2,||,5AAB2651-2D20-4BEE-98F1-2F59939DAC6E,No,Home,No Data,"store, library||SortByRelevance"
2024-03-03T07:01:05Z,US,Not Available,Kindle for iOS,Not Available,drive kate stweart,13E34A33-1AEC-4C39-9FC9-FD46603E488B,drive kate stewart,No Search Suggestions,Not Applicable,Not Selected,||,B24C0BEF-B278-471C-9973-E2E4D6F0398C,No,Home,No Data,"store, library||SortByRelevance"
2024-03-04T09:32:51Z,US,Not Available,Kindle for iOS,Not Available,meghan quinn,6AE7ECA2-8E8A-4745-8D66-2084D59946F6,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,045532BB-11F1-429D-A210-2DEBF33085E5,No,Home,No Data,"store, library||SortByRelevance"
2024-03-08T17:23:52Z,US,Not Available,Kindle for iOS,Not Available,work with me,2E76B264-91C9-47DA-B240-641E477BDFE6,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,5D408794-E00E-4D78-8CBF-9FAEB27B553C,No,Home,No Data,"store, library||SortByRelevance"
2024-03-28T21:22:40Z,US,Not Available,Kindle for iOS,Not Available,,99D80940-B6C0-49DB-8451-55CF801F86BB,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,"store, library||",F2426F09-36FA-492E-A69C-851EA5BD77B0,No,Home,No Data,||SortByRelevance
2024-02-26T08:33:15Z,US,Not Available,Kindle for iOS,Not Available,so not meant to be meghan quinn,C3AC1EAE-BFA4-48D0-84E7-329542459DCF,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,"store, library||",9175B57E-B509-49E5-9AD7-0BBF3ED63535,No,Home,No Data,||SortByRelevance
2024-03-28T02:33:22Z,US,Not Available,Kindle for iOS,Not Available,katee roberts,3C231FB0-E795-4659-AEE5-A3A551F1D352,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,19E8C322-E4C1-42D8-AE48-87976DB13C47,No,Home,No Data,"store, library||SortByRelevance"
2024-03-06T12:27:06Z,US,Not Available,Kindle for iOS,Not Available,penelope douglas,E959EE7B-6AAB-43E6-ABC9-329AB2C96344,Not Applicable,penelope douglas|penelope douglas devils night|penelope douglas corrupt #1|penelope douglas hideaway|penelope douglas punk 57|penelope douglas hellbent series,penelope douglas,1,||,F5DBAAEB-0A21-44BA-8D1E-271A93EAC323,No,Home,No Data,"store, library||SortByRelevance"
2024-03-08T18:36:39Z,US,Not Available,Kindle for iOS,Not Available,,AD6560B6-00E4-49E5-A585-80965C391255,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,5D408794-E00E-4D78-8CBF-9FAEB27B553C,No,Home,No Data,"store, library||SortByRelevance"
2024-03-27T02:44:17Z,US,Not Available,Kindle for iOS,Not Available,up in the air,A22FDE96-CC1F-498C-B419-7A132C960424,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,2032436F-8BA6-40E6-8C30-497863232B7C,No,Home,No Data,"store, library||SortByRelevance"
2024-04-11T03:44:31Z,US,Not Available,Kindle for iOS,Not Available,anchor me,6A22E7D1-0F18-42B6-BA62-3AA04B281728,Not Applicable,anchor me|anchor me series|anchor me j kenner|anchor me j chary,Not Applicable,Not Selected,||,9358ED55-42D1-4B4D-B864-CBE4F1F5E91C,No,More,No Data,"store, library||SortByRelevance"
2024-03-08T18:36:41Z,US,Not Available,Kindle for iOS,Not Available,someone exactly like me,AD6560B6-00E4-49E5-A585-80965C391255,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,5D408794-E00E-4D78-8CBF-9FAEB27B553C,No,Home,No Data,"store, library||SortByRelevance"
2024-02-26T00:00:06Z,US,Not Available,Kindle for iOS,Not Available,emily henry,99677DB7-1424-4418-BDCD-8D9625E61795,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,"store, library|KindleUnlimited|",7E0693E8-F008-4CDA-A81B-4BC6CF946E2D,No,Home,No Data,||SortByRelevance
2024-03-27T02:36:31Z,US,Not Available,Kindle for iOS,Not Available,,A22FDE96-CC1F-498C-B419-7A132C960424,Not Applicable,in death|in death series jd robb|in death book 12|in death series jd robb in order|in death book 14|in death series,Not Applicable,Not Selected,||,2032436F-8BA6-40E6-8C30-497863232B7C,No,Home,No Data,"store, library||SortByRelevance"
2024-03-27T01:44:57Z,US,Not Available,Kindle for iOS,Not Available,kyra parsi,61112238-96D8-4FD6-B95D-01C92EBF3DAB,Not Applicable,kyra parsi,Not Applicable,Not Selected,||,2032436F-8BA6-40E6-8C30-497863232B7C,No,Home,No Data,"store, library||SortByRelevance"
