"Product Name","ASIN","Author ID"
"Fake Around and Find Out: An Enemies-to-lovers Fake Relationship Grumpy Sunshine romance. (Happy Haven Book 1)","B0CBHXCKPS","B00HZZP9MM"
"Anger Banger: An Enemies-to-lovers Grumpy Sunshine Romance (Happy Haven Book 2)","B0CDJPKT7K","B00HZZP9MM"
"Unite Me (Shatter Me)","0062327968","B005DISZ0Q"
"Shatter Me","0062085484","B005DISZ0Q"
"The Pucking Wrong Number: A Hockey Romance (The Pucking Wrong Series Book 1)","B0BYWR9N4G","B07BH4H5YX"
"The Pucking Wrong Guy: A Hockey Romance (The Pucking Wrong Series Book 2)","B0C5K4RCNR","B07BH4H5YX"
"The Pucking Wrong Date: A Hockey Romance (The Pucking Wrong Series Book 3)","B0CJDMBYCT","B07BH4H5YX"
"Iron Flame (The Empyrean Book 2)","B0C4JMJBNX","B00HYKBU1W"
"Consider Me: Playing for Keeps, Book 1","B0B98WZ1CJ","B09H4WQSJV"
"Fourth Wing (The Empyrean Book 1)","B0BGDM197Q","B00HYKBU1W"
"Wild Eyes","B0CXR6ZHLS","B0913FH5MX"
"The Dixon Rule (Campus Diaries Book 2)","B0CLGW57HP","B002WHBZOO"
"The Graham Effect (Campus Diaries Book 1)","B0BYKSTDNB","B002WHBZOO"
"Part of Your World","B09BN2WNPP","B07KX5X24Y"
"Noire Moon: A Prologue Novella (Port Macabre)","B0D3QGCCBD","B0BNK29BS9"
"The Friend Zone","B07K6G7QBR","B07KX5X24Y"
"Ignite Me (Shatter Me Book 3)","B07H56SK9J","B005DISZ0Q"
"Unravel Me (Shatter Me Book 2)","B07H53MXL7","B005DISZ0Q"
"Quicksilver: The Fae & Alchemy Series, Book 1","B0DBJBFHGT","B00JEI9IYS"
"Mistborn Trilogy: The Final Empire, The Well of Ascension, The Hero of Ages (The Mistborn Saga)","B004H1TQBW","B001IGFHW6"
"Wild Love (Rose Hill Book 1)","B0CKMFZN5Z","B0913FH5MX"
"The Wingman: a relationship coach hockey romance (Vancouver Storm Book 3)","B0DD357DWQ","B09MDRSLJ9"
