title_deletion_date,collection_creation_date,title_added_date,is_title_deleted,is_collection_discoverable,last_modified_date,product_name,collection_name,collection_description,total_items_in_collection,is_public_collection,is_collection_archived,profile_name,content_delivery_type,ASIN,collection_type,marketplace,collection_id
"Not Available","Not Available","2024-11-01T21:05:58Z","No","Not Available","2024-11-01T21:05:58Z","Blurred Lines","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B017OBNT8W","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-11-01T21:04:33Z","No","Not Available","2024-11-01T21:04:33Z","Puck Me Secretly","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","1977319556","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-11-01T21:04:04Z","No","Not Available","2024-11-01T21:04:04Z","Pretty Little Savage","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","1705287484","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-11-01T21:02:38Z","No","Not Available","2024-11-01T21:02:38Z","Corrupt","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B01CZ0WTEM","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-11-01T21:00:58Z","No","Not Available","2024-11-01T21:00:58Z","Drop Dead","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0D6HCPSN6","Not Available","Not Available","AYCL"
"2024-10-15T04:10:21Z","Not Available","2024-10-15T04:00:20Z","Yes","Not Available","2024-10-15T04:10:21Z","A Court of Thorns and Roses (Part 1 of 2) (Dramatized Adaptation)","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B09V5PW83R","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-10-15T04:00:20Z","No","Not Available","2024-10-15T04:00:20Z","A Court of Thorns and Roses (Part 1 of 2) (Dramatized Adaptation)","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B09V5PW83R","Not Available","Not Available","AYCL"
"2024-10-03T23:41:01Z","Not Available","2024-10-03T23:31:00Z","Yes","Not Available","2024-10-03T23:41:01Z","A Court of Thorns and Roses","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B00WRHY15Y","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-10-03T23:31:00Z","No","Not Available","2024-10-03T23:31:00Z","A Court of Thorns and Roses","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B00WRHY15Y","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-10-03T02:19:48Z","No","Not Available","2024-10-03T02:19:48Z","Defenseless Hearts","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","1705277683","Not Available","Not Available","AYCL"
"2024-08-08T12:48:45Z","Not Available","2024-08-08T12:38:45Z","Yes","Not Available","2024-08-08T12:48:45Z","If the Sun Never Sets","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0BH6YH49B","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-08-08T12:38:45Z","No","Not Available","2024-08-08T12:38:45Z","If the Sun Never Sets","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0BH6YH49B","Not Available","Not Available","AYCL"
"2024-07-23T11:39:27Z","Not Available","2024-07-23T11:29:26Z","Yes","Not Available","2024-07-23T11:39:27Z","The Rebound","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0BSXH9WXM","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-07-23T11:29:26Z","No","Not Available","2024-07-23T11:29:26Z","The Rebound","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0BSXH9WXM","Not Available","Not Available","AYCL"
"2024-07-13T03:44:17Z","Not Available","2024-07-13T03:34:22Z","Yes","Not Available","2024-07-13T03:44:17Z","A Game of Gods","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B0C4LXH2V5","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-07-13T03:34:22Z","No","Not Available","2024-07-13T03:34:22Z","A Game of Gods","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B0C4LXH2V5","Not Available","Not Available","PURCHASE"
"2024-07-10T21:38:57Z","Not Available","2024-07-10T21:28:56Z","Yes","Not Available","2024-07-10T21:38:57Z","A Game of Retribution","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B09WZ7NL6D","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-07-10T21:28:56Z","No","Not Available","2024-07-10T21:28:56Z","A Game of Retribution","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B09WZ7NL6D","Not Available","Not Available","AYCL"
"2024-07-09T21:26:23Z","Not Available","2024-07-09T21:16:22Z","Yes","Not Available","2024-07-09T21:26:23Z","A Touch of Ruin","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","1705234046","Not Available","Not Available","PENDING"
